Rk,Player,link,Age,Pos,Date,RG/PL,Tm,H-A,Opp,W-L,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,GmScX,GmSc_pt,GmSc,oTDR,dTDR,TDR
411,Tim Hardaway,hardati01,23-129,G,01/08/90,RS,GSW,,DEN,W,1,34,8,12,0.667,.667,8,12,0.667,.667,0,0,0.000,,3,3,1.000,1000,1,9,10,19,1,0,3,2,19,24.80,2.90,27.70,27.70,27.7,72.94,8.53,81.47
1223,Russell Westbrook,westbru01,22-062,G,01/13/11,RS,OKC,,ORL,W,1,42,11,22,0.500,.500,11,21,0.524,.524,0,1,0.000,.000,10,13,0.769,.769,3,7,10,13,1,2,1,1,32,30.00,4.10,34.10,34.10,34.1,71.43,9.76,81.19
406,Hakeem Olajuwon,olajuha01,26-330,C,12/17/89,RS,HOU,,ORL,W,1,43,10,18,0.556,.556,10,18,0.556,.556,0,0,0.000,,12,20,0.600,.600,6,19,25,2,3,10,5,4,32,20.80,14.10,34.90,34.90,34.9,48.37,32.79,81.16
1198,David Lee,leeda02,26-338,F,04/02/10,RS,NYK,@,GSW,L,1,46,14,24,0.583,.583,14,23,0.609,.609,0,1,0.000,.000,9,10,0.900,.900,4,16,20,10,0,1,3,1,37,32.20,5.10,37.30,37.30,37.3,70.00,11.09,81.09
17,Oscar Robertson,roberos01,23,G,12/11/61,RS,CIN,,CHI,W,1,44.3,12,25,0.478,.478,12,25,0.478,.478,,,,,8,13,0.615,0.6153846154,3,12,15,20,,,,3,32,33.61,2.28,35.89,35.89,,75.87,5.14,81.02
157,Clyde Drexler,drexlcl01,23-195,G,01/03/86,RS,POR,,PHO,W,0,30,8,13,0.615,.615,8,13,0.615,.615,0,0,0.000,,2,3,0.667,.667,6,4,10,10,3,0,2,2,18,20.90,3.40,24.30,24.30,24.3,69.67,11.33,81.00
1113,Andrei Kirilenko,kirilan01,26-285,F,11/30/07,RS,UTA,,LAL,W,1,41,5,14,0.357,.357,4,11,0.364,.364,1,3,0.333,.333,9,10,0.900,.900,7,4,11,11,6,4,0,3,20,24.40,8.80,33.20,33.20,33.2,59.51,21.46,80.98
1570,Eric Bledsoe,bledser01,27-068,G,02/15/17,RS,PHO,,LAL,W,1,36,7,14,0.500,.500,4,8,0.500,.500,3,6,0.500,.500,8,9,0.889,.889,2,8,10,13,2,0,3,1,25,25.10,4.00,29.10,29.10,29.1,69.72,11.11,80.83
963,Brad Miller,millebr01,27-223,C,11/21/03,RS,SAC,,ORL,W,1,37,7,8,0.875,.875,7,8,0.875,.875,0,0,0.000,,8,9,0.889,.889,4,10,14,10,1,1,3,1,22,25.60,4.30,29.90,29.90,29.9,69.19,11.62,80.81
210,Fat Lever,leverfa01,26-159,G,01/24/87,RS,DEN,,MIL,W,1,41,9,16,0.563,.563,9,16,0.563,.563,0,0,0.000,,7,8,0.875,.875,5,10,15,12,2,2,1,3,25,27.90,5.20,33.10,33.10,33.1,68.05,12.68,80.73
241,Larry Bird,birdla01,30-115,F,04/01/87,RS,BOS,,WSB,W,1,44,11,20,0.550,.550,11,17,0.647,.647,0,3,0.000,.000,8,8,1.000,1000,2,15,17,15,1,3,4,1,30,28.30,7.20,35.50,35.50,35.5,64.32,16.36,80.68
1440,Stephen Curry,curryst01,27-289,G,12/28/15,RS,GSW,,SAC,W,1,30,7,16,0.438,.438,1,3,0.333,.333,6,13,0.462,.462,3,4,0.750,.750,0,14,14,10,2,0,2,3,23,19.20,5.00,24.20,24.20,24.2,64.00,16.67,80.67
1405,Reggie Jackson,jacksre01,24-345,G,03/27/15,RS,DET,@,ORL,W,1,31,9,19,0.474,.474,8,17,0.471,.471,1,2,0.500,.500,7,9,0.778,.778,3,8,11,10,1,0,3,0,26,21.60,3.40,25.00,25.00,25.0,69.68,10.97,80.65
40,Oscar Robertson,roberos01,23,G,02/25/62,RS,CIN,,CHI,W,1,44.3,10,21,0.478,.478,10,21,0.478,.478,,,,,13,17,0.765,0.7647058824,3,12,15,13,,,,,33,32.24,3.48,35.72,35.72,,72.78,7.85,80.63
1356,Kevin Love,loveke01,25-207,F,04/02/14,RS,MIN,,MEM,W,1,36,9,15,0.600,.600,7,10,0.700,.700,2,5,0.400,.400,4,5,0.800,.800,4,12,16,10,1,1,2,2,24,24.50,4.50,29.00,29.00,29.0,68.06,12.50,80.56
209,Magic Johnson,johnsma02,27-161,G-F,01/22/87,RS,LAL,@,IND,W,1,38,9,17,0.529,.529,9,17,0.529,.529,0,0,0.000,,11,12,0.917,.917,1,9,10,11,1,0,1,2,29,27.70,2.90,30.60,30.60,30.6,72.89,7.63,80.53
1429,Brandon Knight,knighbr03,23-349,G,11/16/15,RS,PHO,,LAL,W,1,41,11,23,0.478,.478,8,15,0.533,.533,3,8,0.375,.375,5,7,0.714,.714,3,7,10,15,4,0,2,3,30,28.10,4.90,33.00,33.00,33.0,68.54,11.95,80.49
1353,James Harden,hardeja01,24-213,G,03/27/14,RS,HOU,,PHI,W,1,31,9,17,0.529,.529,6,9,0.667,.667,3,8,0.375,.375,5,6,0.833,.833,4,6,10,10,1,0,5,0,26,22.10,2.80,24.90,24.90,24.9,71.29,9.03,80.32
1600,Russell Westbrook,westbru01,28-135,G,03/27/17,RS,OKC,@,DAL,W,1,36,15,30,0.500,.500,13,21,0.619,.619,2,9,0.222,.222,5,5,1.000,1000,0,13,13,10,2,0,6,0,37,23.00,5.90,28.90,28.90,28.9,63.89,16.39,80.28
599,David Robinson,robinda01,28-186,C,02/08/94,RS,SAS,,WSB,W,1,42,11,16,0.688,.688,11,16,0.688,.688,0,0,0.000,,9,13,0.692,.692,1,13,14,10,1,7,6,1,31,24.30,9.40,33.70,33.70,33.7,57.86,22.38,80.24
1464,Giannis Antetokounmpo,antetgi01,21-078,F-G,02/22/16,RS,MIL,,LAL,W,1,42,12,17,0.706,.706,12,16,0.750,.750,0,1,0.000,.000,3,6,0.500,.500,2,10,12,10,3,4,1,3,27,26.10,7.60,33.70,33.70,33.7,62.14,18.10,80.24
337,Magic Johnson,johnsma02,29-163,G-F,01/24/89,RS,LAL,,NYK,L,1,43,10,17,0.588,.588,10,13,0.769,.769,0,4,0.000,.000,6,6,1.000,1000,5,6,11,11,5,1,2,1,26,27.30,7.10,34.40,34.40,34.4,63.49,16.51,80.00
383,Magic Johnson,johnsma02,29-247,G-F,04/18/89,RS,LAL,,DEN,W,1,40,6,15,0.400,.400,2,7,0.286,.286,4,8,0.500,.500,8,8,1.000,1000,4,13,17,17,3,1,5,3,24,25.60,6.40,32.00,32.00,32.0,64.00,16.00,80.00
1354,Kevin Love,loveke01,25-202,F,03/28/14,RS,MIN,,LAL,W,1,29,6,10,0.600,.600,3,5,0.600,.600,3,5,0.600,.600,7,9,0.778,.778,0,10,10,10,1,0,4,1,22,19.60,3.60,23.20,23.20,23.2,67.59,12.41,80.00
171,Reggie Theus,theusre01,28-150,G,03/12/86,RS,SAC,@,DAL,W,1,44,10,17,0.588,.588,10,17,0.588,.588,0,0,0.000,,12,12,1.000,1000,3,11,14,15,2,0,6,2,32,30.70,4.50,35.20,35.20,35.2,69.77,10.23,80.00
1209,Kobe Bryant,bryanko01,32-072,G-F,11/03/10,RS,LAL,@,SAC,W,1,36,9,22,0.409,.409,6,16,0.375,.375,3,6,0.500,.500,9,10,0.900,.900,1,9,10,12,1,0,1,2,30,25.90,2.90,28.80,28.80,28.8,71.94,8.06,80.00
1105,LeBron James,jamesle01,22-319,F-G,11/14/07,RS,CLE,,ORL,L,1,47,15,27,0.556,.556,13,23,0.565,.565,2,4,0.500,.500,7,9,0.778,.778,4,9,13,14,0,2,4,1,39,33.90,3.70,37.60,37.60,37.6,72.13,7.87,80.00
1020,Jason Kidd,kiddja01,32-015,G,04/07/05,RS,NJN,,NYK,W,1,36,11,22,0.500,.500,8,12,0.667,.667,3,10,0.300,.300,3,3,1.000,1000,4,6,10,12,1,0,1,3,28,27.20,1.60,28.80,28.80,28.8,75.56,4.44,80.00
84,Magic Johnson,johnsma02,25-077,G-F,10/30/84,RS,LAL,,GSW,W,1,29,6,8,0.750,.750,6,8,0.750,.750,0,0,0.000,,4,6,0.667,.667,1,11,12,10,3,0,2,2,16,17.70,5.50,23.20,23.20,23.2,61.03,18.97,80.00
61,Sidney Moncrief,moncrsi01,26-142,G,02/10/84,RS,MIL,,SAS,L,1,38,11,16,0.688,.688,11,16,0.688,.688,0,0,0.000,,5,5,1.000,1000,3,7,10,10,0,1,1,2,27,28.30,2.00,30.30,30.30,30.3,74.47,5.26,79.74
1554,Russell Westbrook,westbru01,28-072,G,01/23/17,RS,OKC,@,UTA,W,1,36,11,29,0.379,.379,8,22,0.364,.364,3,7,0.429,.429,13,17,0.765,.765,1,10,11,10,4,1,6,3,38,22.20,6.50,28.70,28.70,28.7,61.67,18.06,79.72
177,Magic Johnson,johnsma02,26-252,G-F,04/23/86,PL,LAL,@,SAS,W,1,32,4,6,0.667,0.667,4,6,0.667,0.667,0,0,0.000,,6,8,0.750,0.75,4,6,10,17,2,0,2,4,14,23.30,2.20,25.50,25.50,25.5,72.81,6.88,79.69
310,James Worthy,worthja01,27-115,F,06/21/88,PL,LAL,,DET,W,1,44,15,22,0.682,0.682,15,22,0.682,0.682,0,0,0.000,,6,10,0.600,0.6,5,11,16,10,2,0,5,2,36,30.50,4.50,35.00,35.00,35,69.32,10.23,79.55
26,Oscar Robertson,roberos01,23,G,01/09/62,RS,CIN,,CHI,W,1,44.3,14,29,0.478,.478,14,29,0.478,.478,,,,,5,6,0.803,0.803,5,15,20,14,,,,,33,30.59,4.64,35.22,35.22,,69.05,10.47,79.51
969,Kevin Garnett,garneke01,27-213,F-C,12/18/03,RS,MIN,,DAL,W,1,41,13,26,0.500,.500,12,25,0.480,.480,1,1,1.000,1000,8,9,0.889,.889,2,8,10,10,2,2,2,3,35,28.00,4.60,32.60,32.60,32.6,68.29,11.22,79.51
50,Larry Bird,birdla01,26-358,F,11/30/83,RS,BOS,,SAS,W,1,36,9,17,0.529,.529,9,17,0.529,.529,0,0,0.000,,5,6,0.833,.833,1,13,14,13,4,0,3,1,23,21.10,7.50,28.60,28.60,28.6,58.61,20.83,79.44
752,Kevin Garnett,garneke01,21-229,F-C,01/03/98,RS,MIN,,DEN,W,1,36,6,10,0.600,.600,6,10,0.600,.600,0,0,0.000,,6,6,1.000,1000,5,8,13,10,2,3,1,2,18,22.90,5.70,28.60,28.60,28.6,63.61,15.83,79.44
1589,Russell Westbrook,westbru01,28-122,G,03/14/17,RS,OKC,@,BRK,W,1,35,6,18,0.333,.333,4,11,0.364,.364,2,7,0.286,.286,11,13,0.846,.846,1,11,12,19,2,1,5,3,25,23.00,4.80,27.80,27.80,27.8,65.71,13.71,79.43
1561,Nikola Jokic,jokicni01,21-350,C-F,02/03/17,RS,DEN,,MIL,W,1,32,8,15,0.533,.533,6,11,0.545,.545,2,4,0.500,.500,2,2,1.000,1000,6,6,12,11,1,0,2,0,20,22.60,2.80,25.40,25.40,25.4,70.63,8.75,79.38
36,Oscar Robertson,roberos01,23,G,02/17/62,RS,CIN,,DET,L,1,44.3,11,23,0.478,.478,11,23,0.478,.478,,,,,8,12,0.667,0.6666666667,3,12,15,18,,,,,30,31.68,3.48,35.15,35.15,,71.50,7.85,79.35
1499,Russell Westbrook,westbru01,27-194,G,05/24/16,PL,OKC,,GSW,W,1,41,12,27,0.444,0.444,8,19,0.421,0.421,4,8,0.500,0.5,8,8,1.000,1,5,6,11,11,4,0,6,1,36,27.10,5.40,32.50,32.50,32.5,66.10,13.17,79.27
89,Magic Johnson,johnsma02,25-112,G-F,12/04/84,RS,LAL,@,CLE,W,1,39,13,18,0.722,.722,13,18,0.722,.722,0,0,0.000,,2,4,0.500,.500,1,9,10,14,3,1,5,2,28,25.30,5.60,30.90,30.90,30.9,64.87,14.36,79.23
364,Magic Johnson,johnsma02,29-224,G-F,03/26/89,RS,LAL,,PHO,W,1,44,11,22,0.500,.500,11,17,0.647,.647,0,5,0.000,.000,12,13,0.923,.923,0,10,10,18,1,0,4,1,34,31.20,3.60,34.80,34.80,34.8,70.91,8.18,79.09
442,Magic Johnson,johnsma02,30-228,G-F,03/30/90,RS,LAL,,POR,W,1,32,8,15,0.533,.533,7,12,0.583,.583,1,3,0.333,.333,8,9,0.889,.889,0,10,10,14,0,0,4,2,25,23.10,2.20,25.30,25.30,25.3,72.19,6.88,79.06
1599,Russell Westbrook,westbru01,28-134,G,03/26/17,RS,OKC,@,HOU,L,1,39,13,24,0.542,.542,10,15,0.667,.667,3,9,0.333,.333,10,16,0.625,.625,0,11,11,13,0,0,5,4,39,29.10,1.70,30.80,30.80,30.8,74.62,4.36,78.97
1022,LeBron James,jamesle01,20-100,F-G,04/09/05,RS,CLE,,MIL,W,1,47,15,26,0.577,.577,8,13,0.615,.615,7,13,0.538,.538,3,3,1.000,1000,1,9,10,10,2,1,3,2,40,32.50,4.60,37.10,37.10,37.1,69.15,9.79,78.94
1138,Marcus Camby,cambyma01,33-360,C-F,03/16/08,RS,DEN,,SEA,W,1,27,4,6,0.667,.667,4,6,0.667,.667,0,0,0.000,,5,5,1.000,1000,0,15,15,10,1,4,4,1,13,13.40,7.90,21.30,21.30,21.3,49.63,29.26,78.89
892,Andre Miller,millean02,25-330,G,02/12/02,RS,CLE,,TOR,W,1,40,8,14,0.571,.571,7,13,0.538,.538,1,1,1.000,1000,5,6,0.833,.833,3,7,10,17,4,0,2,4,22,27.00,4.50,31.50,31.50,31.5,67.50,11.25,78.75
