Player,Pos,Date,RG/PL,Tm,,Opp,,TDS,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oTDR,dTDR,TDR
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Oscar Robertson,G,,,,,,,182,,,,,,,,,,,,,N/A
Magic Johnson,G-F,03/21/1984,RS,LAL,@,KCK,W,155,28,2,10,12,19,2,1,5,4,24,92.50,14.64,107.14
Magic Johnson,G-F,03/09/1990,RS,LAL,,GSW,W,155,39,4,9,13,16,3,0,3,1,33,92.05,13.59,105.64
Magic Johnson,G-F,12/30/1990,RS,LAL,,PHI,W,155,39,3,10,13,13,2,0,4,1,34,85.38,11.79,97.18
Magic Johnson,G-F,05/05/1991,PL,LAL,,GSW,W,155,31,2,8,10,17,3,0,0,2,21,83.23,14.84,98.06
Magic Johnson,G-F,04/13/1990,RS,LAL,,GSW,W,155,32,3,7,10,13,0,0,1,4,21,81.25,1.56,82.81
Magic Johnson,G-F,11/13/1983,RS,LAL,,UTA,W,155,41,5,8,13,16,3,0,4,2,30,80.98,11.22,92.20
Magic Johnson,G-F,03/22/1987,RS,LAL,,SAC,W,155,40,2,10,12,19,3,1,5,3,33,80.00,13.75,93.75
Magic Johnson,G-F,03/18/1987,RS,LAL,,UTA,W,155,38,3,8,11,19,2,0,4,1,27,78.68,10.53,89.21
Magic Johnson,G-F,04/02/1987,RS,LAL,@,SEA,W,155,40,1,9,10,13,2,0,1,3,34,77.00,8.75,85.75
Magic Johnson,G-F,03/07/1988,RS,LAL,@,PHI,W,155,40,3,8,11,17,3,0,2,1,24,76.75,12.50,89.25
Magic Johnson,G-F,03/24/1985,RS,LAL,,DET,W,155,36,0,10,10,19,1,0,5,3,25,76.11,7.78,83.89
Magic Johnson,G-F,03/17/1989,RS,LAL,,DAL,W,155,40,4,8,12,13,2,2,4,0,31,75.75,14.50,90.25
Magic Johnson,G-F,12/07/1988,RS,LAL,,PHO,W,155,32,1,11,12,18,0,1,4,3,19,75.00,8.75,83.75
Magic Johnson,G-F,04/02/1991,RS,LAL,@,SAS,W,155,40,2,10,12,10,2,1,3,4,30,73.75,10.25,84.00
Magic Johnson,G-F,01/22/1987,RS,LAL,@,IND,W,155,38,1,9,10,11,1,0,1,2,29,72.89,7.63,80.53
Magic Johnson,G-F,04/23/1986,PL,LAL,@,SAS,W,155,32,4,6,10,17,2,0,2,4,14,72.81,6.88,79.69
Magic Johnson,G-F,11/08/1983,RS,LAL,@,DEN,W,155,43,6,6,12,14,1,0,2,5,29,72.79,1.86,74.65
Magic Johnson,G-F,03/30/1990,RS,LAL,,POR,W,155,32,0,10,10,14,0,0,4,2,25,72.19,6.88,79.06
Magic Johnson,G-F,12/28/1988,RS,LAL,,PHI,W,155,39,3,7,10,18,2,0,5,4,26,71.79,6.41,78.21
Magic Johnson,G-F,03/26/1989,RS,LAL,,PHO,W,155,44,0,10,10,18,1,0,4,1,34,70.91,8.18,79.09
Magic Johnson,G-F,11/08/1985,RS,LAL,,DEN,W,155,28,1,9,10,12,2,1,3,2,19,70.71,16.43,87.14
Magic Johnson,G-F,02/17/1984,RS,LAL,,DEN,L,155,42,2,11,13,16,2,2,5,2,33,70.48,14.05,84.52
Magic Johnson,G-F,04/03/1987,RS,LAL,@,POR,W,155,40,2,8,10,11,1,0,4,4,35,70.25,4.50,74.75
Magic Johnson,G-F,12/28/1984,RS,LAL,@,DEN,W,155,31,2,9,11,14,1,0,6,3,21,70.00,8.06,78.06
Magic Johnson,G-F,12/18/1984,RS,LAL,@,ATL,W,155,45,1,13,14,20,0,0,4,1,25,66.00,7.78,73.78
Magic Johnson,G-F,12/13/1988,RS,LAL,@,CLE,W,155,42,1,11,12,13,1,1,3,4,31,65.95,8.10,74.05
Magic Johnson,G-F,05/05/1987,PL,LAL,,GSW,W,155,37,4,8,12,14,2,0,5,0,25,65.41,11.89,77.30
Magic Johnson,G-F,12/04/1984,RS,LAL,@,CLE,W,155,39,1,9,10,14,3,1,5,2,28,64.87,14.36,79.23
Magic Johnson,G-F,11/28/1988,RS,LAL,@,PHI,W,155,42,1,10,11,20,2,0,7,1,32,64.76,10.95,75.71
Magic Johnson,G-F,01/12/1990,RS,LAL,,HOU,W,155,41,3,8,11,11,1,0,6,0,31,64.39,8.29,72.68
Magic Johnson,G-F,04/18/1989,RS,LAL,,DEN,W,155,40,4,13,17,17,3,1,5,3,24,64.00,16.00,80.00
Magic Johnson,G-F,01/24/1989,RS,LAL,,NYK,L,155,43,5,6,11,11,5,1,2,1,26,63.49,16.51,80.00
Magic Johnson,G-F,05/04/1986,PL,LAL,@,DAL,L,155,43,5,10,15,14,2,0,4,3,29,61.40,8.84,70.23
Magic Johnson,G-F,06/03/1984,PL,LAL,,BOS,W,155,39,2,9,11,21,1,1,2,3,14,61.28,8.21,69.49
Magic Johnson,G-F,10/30/1984,RS,LAL,,GSW,W,155,29,1,11,12,10,3,0,2,2,16,61.03,18.97,80.00
Magic Johnson,G-F,11/19/1989,RS,LAL,,WSB,W,155,39,4,6,10,14,1,1,4,0,25,61.03,8.97,70.00
Magic Johnson,G-F,01/04/1987,RS,LAL,,UTA,W,155,36,5,5,10,11,1,0,4,2,26,60.83,4.72,65.56
Magic Johnson,G-F,11/19/1990,RS,LAL,@,DEN,W,155,34,1,9,10,11,0,0,1,1,21,60.00,6.76,66.76
Magic Johnson,G-F,02/04/1988,RS,LAL,@,LAC,W,155,30,4,6,10,11,1,0,4,3,18,59.67,5.33,65.00
Magic Johnson,G-F,12/02/1988,RS,LAL,,UTA,W,155,38,4,8,12,15,3,0,3,2,17,58.16,12.11,70.26
Magic Johnson,G-F,02/06/1990,RS,LAL,@,POR,W,155,37,2,8,10,15,3,0,5,6,24,58.11,8.11,66.22
Magic Johnson,G-F,11/11/1990,RS,LAL,,NYK,L,155,41,5,10,15,14,2,0,4,2,24,58.05,10.24,68.29
Magic Johnson,G-F,02/19/1988,RS,LAL,@,ATL,W,155,49,0,11,11,19,1,0,5,0,29,55.31,8.78,64.08
Magic Johnson,G-F,12/04/1990,RS,LAL,,DET,W,155,36,2,10,12,14,0,0,4,2,21,55.28,6.11,61.39
Magic Johnson,G-F,02/12/1984,RS,LAL,,ATL,W,155,36,0,10,10,15,1,0,7,2,23,55.00,8.89,63.89
Magic Johnson,G-F,03/29/1991,RS,LAL,,POR,L,155,43,1,9,10,12,0,0,2,4,23,54.42,2.56,56.98
Magic Johnson,G-F,02/21/1991,RS,LAL,@,DAL,W,155,39,1,9,10,12,0,1,3,3,21,54.10,5.64,59.74
Magic Johnson,G-F,12/16/1986,RS,LAL,@,CLE,W,155,42,3,8,11,14,1,1,4,2,25,53.33,7.86,61.19
Magic Johnson,G-F,03/31/1987,RS,LAL,,HOU,W,155,38,5,5,10,13,2,0,6,3,21,53.16,6.05,59.21
Magic Johnson,G-F,01/16/1989,RS,LAL,,HOU,W,155,42,3,10,13,18,0,0,3,2,17,53.10,5.24,58.33
Magic Johnson,G-F,03/23/1989,RS,LAL,@,SAC,W,155,40,0,10,10,14,0,0,4,2,25,52.75,5.50,58.25
Magic Johnson,G-F,01/11/1991,RS,LAL,,CLE,W,155,41,4,6,10,14,0,0,9,3,27,52.44,1.46,53.90
Magic Johnson,G-F,12/01/1990,RS,LAL,@,PHO,W,155,40,3,9,12,15,1,1,4,2,25,52.00,9.00,61.00
Magic Johnson,G-F,12/21/1984,RS,LAL,,PHO,W,155,40,1,9,10,12,1,0,4,0,25,51.25,9.25,60.50
Magic Johnson,G-F,03/25/1991,RS,LAL,@,SAC,W,155,42,2,10,12,14,2,0,3,3,19,51.19,9.05,60.24
Magic Johnson,G-F,12/10/1988,RS,LAL,@,IND,W,155,41,1,10,11,13,0,0,7,5,32,50.98,2.44,53.41
Magic Johnson,G-F,05/14/1991,PL,LAL,,GSW,W,155,47,3,11,14,12,0,0,2,2,28,50.85,5.32,56.17
