Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
1365,Russell Westbrook,westbru01,25-172,G,05/03/2014,PL,OKC,,MEM,W,1,39,10,16,0.625,0.63,8.00,14.00,0.57,0.57,2.00,2.00,1.00,1.00,5,6,0.833,0.833,4,6,10,16,2,1,7,3,27,26.40,3.30,29.70,29.70,29.70,67.69,8.46,76.15
1129,Dirk Nowitzki,nowitdi01,29-232,F,02/06/2008,RS,DAL,,MIL,W,1,42,9,17,0.529,0.53,8.00,16.00,0.50,0.50,1.00,1.00,1.00,"1,000.00",10,12,0.833,0.833,3,7,10,12,0,1,2,2,29,28.40,2.00,30.40,30.40,30.40,67.62,4.76,72.38
1354,Kevin Love,loveke01,25-202,F,03/28/2014,RS,MIN,,LAL,W,1,29,6,10,0.600,0.60,3.00,5.00,0.60,0.60,3.00,5.00,0.60,0.60,7,9,0.778,0.778,0,10,10,10,1,0,4,1,22,19.60,3.60,23.20,23.20,23.20,67.59,12.41,80.00
1474,Giannis Antetokounmpo,antetgi01,21-098,F-G,03/13/2016,RS,MIL,@,BRK,W,1,41,12,16,0.750,0.75,12.00,16.00,0.75,0.75,0.00,0.00,0.00,,4,11,0.364,0.364,3,8,11,14,4,2,3,1,28,27.70,7.40,35.10,35.10,35.10,67.56,18.05,85.61
38,Oscar Robertson,roberos01,23,G,02/23/1962,RS,CIN,@,DET,W,1,44,16,33,0.478,0.48,16.00,33.47,0.48,0.48,,,,,7,9,0.778,0.778,2,9,11,10,,,,,39,29.92,2.55,32.47,32.47,,67.54,5.76,73.29
892,Andre Miller,millean02,25-330,G,02/12/2002,RS,CLE,,TOR,W,1,40,8,14,0.571,0.57,7.00,13.00,0.54,0.54,1.00,1.00,1.00,"1,000.00",5,6,0.833,0.833,3,7,10,17,4,0,2,4,22,27.00,4.50,31.50,31.50,31.50,67.50,11.25,78.75
307,Hakeem Olajuwon,olajuha01,25-091,C,04/21/1988,RS,HOU,,SAS,L,1,42,15,25,0.600,0.60,15.00,25.00,0.60,0.60,0.00,0.00,0.00,,8,8,1.000,1.000,0,10,10,4,5,10,1,4,38,28.30,13.40,41.70,41.70,41.70,67.38,31.90,99.29
164,Larry Bird,birdla01,29-069,F,02/14/1986,RS,BOS,@,POR,W,1,49,21,34,0.618,0.62,18.00,31.00,0.58,0.58,3.00,3.00,1.00,"1,000.00",2,3,0.667,0.667,3,11,14,11,1,2,8,1,47,33.00,5.30,38.30,38.30,38.30,67.35,10.82,78.16
571,Derrick Coleman,colemde01,25-298,F,04/15/1993,RS,NJN,,BOS,L,1,45,9,19,0.474,0.47,9.00,17.00,0.53,0.53,0.00,2.00,0.00,0.00,15,17,0.882,0.882,4,11,15,10,6,1,2,4,33,30.30,8.40,38.70,38.70,38.70,67.33,18.67,86.00
152,Alvan Adams,adamsal01,31-155,C-F,12/21/1985,RS,PHO,,GSW,W,1,33,10,15,0.667,0.67,10.00,15.00,0.67,0.67,0.00,0.00,0.00,,4,5,0.800,0.800,3,9,12,10,1,1,4,5,24,22.20,2.40,24.60,24.60,24.60,67.27,7.27,74.55
